1804,0.9015,1336.509786,692.7728924,-208.4247745,1782.013048,-1610.205015,-339.0322811,2227.51631,1464.990047,-1775.562633,,,
1805,0.902,1213.525492,476.1173254,-438.2341594,1618.033989,-1775.954449,-26.51732443,2022.542486,1763.856154,-1478.387748,,,
1806,0.9025,1060.660172,247.7381697,-657.2527649,1414.213562,-1897.973991,286.6505768,1767.766953,2019.290269,-1144.810049,,,
1807,0.903,881.6778785,13.25887805,-860.0876261,1175.570505,-1973.259115,592.7601894,1469.463131,2225.002756,-783.0433286,,,
1808,0.9035,680.9857496,-221.5468912,-1041.744275,907.9809995,-1999.95605,884.2740789,1134.976249,2375.92829,-401.9954823,,,
1809,0.904,463.5254916,-450.8974407,-1197.749723,618.0339888,-1977.407429,1154.014206,772.542486,2468.350585,-11.04917298,,,
1810,0.9045,234.6516976,-669.1453987,-1324.262598,312.8689301,-1906.168475,1395.338673,391.0861626,2499.993896,380.1692036,,,
1811,0.905,2.08187E-08,-870.9167763,-1418.167732,2.77582E-08,-1787.993327,1602.305271,3.46978E-08,2470.07906,762.0265527,,,
1812,0.9055,-234.6516975,-1051.243292,-1477.152871,-312.8689301,-1625.791849,1769.817796,-391.0861626,2379.342681,1125.120279,,,
1813,0.906,-463.5254915,-1205.68471,-1499.765603,-618.0339887,-1423.557981,1893.751533,-772.5424859,2230.018987,1460.50981,,,
1814,0.9065,-680.9857496,-1330.438168,-1485.449129,-907.9809995,-1186.27139,1971.054822,-1134.976249,2025.784826,1759.936742,,,
1815,0.907,-881.6778784,-1422.431823,-1434.555967,-1175.570505,-919.7748606,1999.8242,-1469.463131,1771.669119,2016.028191,,,
1816,0.9075,-1060.660172,-1479.400486,-1348.339276,-1414.213562,-630.6304215,1979.351269,-1767.766953,1473.929038,2222.478335,,,
1817,0.908,-1213.525492,-1499.9414,-1228.921997,-1618.033989,-325.9577686,1910.140141,-2022.542486,1139.895933,2374.203687,,,
1818,0.9085,-1336.509786,-1483.548777,-1079.244581,-1782.013048,-13.2589536,1793.895023,-2227.51631,777.7948064,2467.468264,,,
1819,0.909,-1426.584774,-1430.626261,-902.9925805,-1902.113033,299.7663408,1633.478256,-2377.641291,396.5417907,2499.975583,,,
1820,0.9095,-1481.532511,-1342.476978,-704.5059062,-1975.376681,605.4103931,1432.839833,-2469.220851,5.524599995,2470.925207,,,
